TimeStamp,MaxX,MaxY,MaxMagnitude,MinMagnitude,AverageMagnitude,DiffMagnitude,MaxTiltAngleX,AverageTiltAngleX,MinTiltAngleX,MaxZ,MaxTiltAngleY,MinTiltAngleY,AverageTiltAngleY,MaxTiltAngleZ,MinTiltAngleZ,AverageTiltAngleZ,MinX,MinY,MinZ,AverageX,AverageY,AverageZ,Situation,Activity
9102016,71,707,730.0835569,347.943961,22.38118542,382.1395959,0.195803053,-0.03901993,-0.215420135,192,1.334953169,1.134413431,1.237970771,0.428466472,0.234232585,0.30339793,-113,327,100,-19.55223881,476.2537313,148.8059701,이동,걷기
9102016,43,691,723.1528193,330.3649497,22.70926557,392.7878695,0.084217972,-0.052456976,-0.194978555,221,1.340790221,1.194354036,1.2670736,0.351491798,0.2299387,0.285881752,-95,321,78,-25.10666667,494.96,146.1066667,이동,걷기
9102016,194,650,712.1853691,347.8749775,22.2002659,364.3103916,0.36088949,0.045934146,-0.304122251,288,1.286949347,0.98259576,1.136298969,0.493233462,0.282225716,0.399687773,-140,311,121,22.08695652,449.1449275,191.2028986,이동,걷기
9102016,20,752,808.8318738,364.8369499,22.80439091,443.9949239,0.042641246,-0.081428977,-0.373131696,296,1.208685509,0.960631981,1.121691118,0.529438957,0.32825356,0.426568703,-165,303,161,-40.14084507,472.7042254,213.6901408,이동,걷기
9102016,81,669,741.4620692,395.0468327,22.58989582,346.4152365,0.151506733,-0.074022028,-0.30541422,309,1.141208007,0.991910945,1.081674968,0.549744658,0.372313519,0.461468757,-177,347,181,-39.48101266,452.9873418,226.1392405,이동,걷기
9102016,120,699,754.5395947,341.2359887,22.71234242,413.303606,0.200764906,-0.120338464,-0.401773188,327,1.239344331,0.919934734,1.117445689,0.530502665,0.323268253,0.409057958,-168,313,133,-59.325,466.9375,205.1125,이동,걷기
9102016,55,631,679.6977269,389.7948178,22.52124763,289.9029091,0.084814333,-0.120837164,-0.3302172,252,1.299776174,1.066474083,1.183211814,0.453118542,0.263877513,0.348206843,-155,366,121,-59.45454545,471.2727273,172.8831169,이동,걷기
9102016,51,646,692.8527982,376.8938843,22.54983536,315.9589139,0.119126194,-0.065339476,-0.252142524,245,1.282465544,1.062497527,1.17487628,0.505860592,0.253548137,0.375982138,-124,350,107,-32.57894737,471.0131579,186.5394737,이동,걷기
9102016,39,696,729.7705119,355.4110297,22.48203803,374.3594822,0.073631651,-0.103394621,-0.234195736,192,1.287733615,1.114520129,1.215535306,0.421419175,0.235645903,0.318350918,-130,341,100,-54.05479452,477.0273973,156.3561644,이동,걷기
9102016,54,679,724.1229177,354.2329742,22.57606183,369.8899436,0.132511616,-0.136680454,-0.302265083,247,1.289568665,1.051650213,1.181756155,0.415962813,0.277711164,0.343962539,-136,316,114,-67.74358974,474.5512821,171.7692308,이동,걷기
9102016,66,702,738.0602956,358.2820118,22.56601259,379.7782838,0.116555022,-0.166576938,-0.440457117,227,1.301817357,1.012912959,1.190424026,0.398829039,0.22482424,0.309388449,-207,339,102,-83.30434783,474.4202899,154.2173913,이동,걷기
9102016,28,679,747.886355,384.923369,22.84667515,362.962986,0.048993404,-0.072244452,-0.269268748,313,1.219461703,1.021150757,1.124315547,0.545970587,0.274484783,0.421391367,-148,329,150,-37.87671233,473.6164384,212.2191781,이동,걷기
9102016,52,754,819.585871,355.768183,22.64489794,463.8176881,0.126243758,-0.057402539,-0.318144067,319,1.235677845,0.96883171,1.142761517,0.587847279,0.254198893,0.395033756,-153,321,122,-31.2238806,470.2686567,194.2537313,이동,걷기
9102016,115,742,799.4585668,347.3801952,22.29850008,452.0783716,0.255060309,-0.039676799,-0.286086295,300,1.189352571,0.903901061,1.066616828,0.666090202,0.380625664,0.481320965,-119,288,177,-18.51428571,440.0571429,227.8714286,이동,걷기
9102016,100,670,765.8759691,353.2223096,22.77394946,412.6536595,0.200469088,-0.046384368,-0.350356102,395,1.218477745,0.85018189,1.046837001,0.621381182,0.341823247,0.501960374,-148,295,171,-21.64102564,450.8846154,248.8846154,이동,걷기
9102016,14,714,796.5054928,432.3112305,22.69600051,364.1942623,0.031764767,-0.151936913,-0.339462369,340,1.125723349,0.833357223,0.98127365,0.737318655,0.438914194,0.548172888,-165,324,224,-77.62857143,429.3285714,266.1428571,운반,물건들기
9102016,73,517,653.6826447,366.1174675,22.37477198,287.5651772,0.160394828,-0.084261597,-0.314081512,496,0.949492622,0.350535492,0.612292524,1.191944492,0.621092032,0.929256818,-173,180,297,-42.17948718,286.2179487,399.4230769,운반,물건들기
9102016,-33,298,600.9084789,342.7039539,22.88636331,258.204525,-0.067801633,-0.164119311,-0.263298831,582,0.55086493,0.045102364,0.255911338,1.436463089,1.006296273,1.25080164,-152,25,338,-87,129.6052632,497.6578947,운반,물건들기
9102016,93,392,696.7531844,477.7593536,23.7554185,218.9938308,0.172967162,-0.075591975,-0.21899,576,0.59753893,0.263175982,0.428387055,1.284912772,0.97320204,1.119914919,-118,141,435,-41.57894737,235.2894737,506.8421053,운반,물건들기
9102016,203,440,627.7746411,343.9156873,22.03698857,283.8589538,0.479451229,0.179623829,-0.092936836,521,0.997176364,0.338710631,0.642472154,1.204986118,0.453472505,0.876953186,-53,153,204,83.73076923,280.5641026,371.9487179,운반,물건들기
9102016,264,512,599.6015344,434.6067188,22.34467143,164.9948156,0.544325819,0.446004305,0.308269981,203,1.110166196,0.936811883,1.013606331,0.446174096,0.228607316,0.305293507,135,355,115,215.3287671,423.8219178,149.7123288,운반,물건들기
9102016,225,485,595.6290792,433.0692785,22.55604576,162.5598007,0.452713429,0.157772282,0.009482859,349,1.084974378,0.847143288,0.955611418,0.67974465,0.385303723,0.579948484,5,326,189,79.16,415.6533333,278.3466667,운반,물건들기
9102016,183,519,616.803048,432.3817757,22.38555845,184.4212722,0.319056061,0.195686866,0.075406354,312,1.083370191,0.880876231,0.978599922,0.642672205,0.448637684,0.546956464,36,353,216,98.025,416.4,260.225,운반,물건 들고 걷기
9102016,190,551,643.295422,450.2310518,22.46595882,193.0643702,0.334396831,0.216965815,0.114480913,292,1.12296881,0.948673688,1.028928297,0.572748488,0.413129626,0.484690953,56,366,195,109.2763158,432.4605263,235.0131579,운반,물건 들고 걷기
